pixel_no,pixel_x,pixel_y,latitude,longitude,C12_real_mean,C12_real_sigma,C11_mean,C11_sigma,C12_imag_mean,C12_imag_sigma,C22_mean,C22_sigma
87,493,86,12.2551999315004,76.2155471682059,-94.53889,293.38522,12235.248,1010.313,682.53705,458.1939,4103.1035,327.98264
88,493,87,12.2550755872132,76.2155219816994,14.507411,368.11963,12684.674,818.42096,392.12595,481.64038,3974.4944,407.4561
89,493,88,12.254951242926,76.215496795193,-20.474075,698.57196,13188.981,1352.7766,19.490747,582.0467,3995.763,378.7357
90,493,89,12.2548268986388,76.2154716086866,-277.8185,934.5077,13930.124,1916.6177,31.588898,820.03485,4254.6035,672.6419
91,493,90,12.2547025543517,76.2154464221802,-576.57776,953.8181,15279.967,2225.3474,683.4093,1592.2998,4792.4795,635.2337
92,493,91,12.2545782100645,76.2154212356737,-806.2426,678.11395,15614.312,1980.0072,1329.8907,1473.4883,5154.637,628.6261
93,493,92,12.2544538657773,76.2153960491673,-522.0926,1012.9933,15538.239,2143.0325,1494.7074,1319.1295,5460.95,930.55554
94,493,93,12.2543295214901,76.2153708626608,-53.11667,1207.5266,14892.409,1789.486,900.66296,948.0682,5578.3613,1206.6681
95,493,94,12.2542051772029,76.2153456761544,488.28336,1252.9376,15057.593,1581.7944,618.70184,584.35724,5711.0146,1411.0763
96,493,95,12.2540808329157,76.215320489648,842.5093,977.4798,15413.052,2224.129,565.57965,503.0506,5883.698,1206.7882
97,493,96,12.2539564886285,76.2152953031415,485.1815,1055.3258,16798.736,3596.9524,742.25,509.2187,5822.252,969.6751
98,493,97,12.2538321443413,76.2152701166351,560.5574,1030.942,18391.37,4575.3516,-85.19444,1415.2189,6004.1187,598.2377
99,493,98,12.2537078000541,76.2152449301286,355.6889,1019.9254,19433.361,4314.458,-589.56665,1284.4357,6028.8574,682.23303
100,493,99,12.2535834557669,76.2152197436222,555.07776,868.7859,19760.797,4006.2976,-889.363,1112.336,5962.911,947.0115
101,493,100,12.2534591114797,76.2151945571158,272.01297,755.0224,19409.998,3152.3823,-390.10184,882.536,5333.0664,1174.4683
102,493,101,12.2533347671925,76.2151693706093,75.78148,623.5242,18807.77,2849.6838,80.69446,1053.5541,4769.25,947.2558
103,493,102,12.2532104229053,76.2151441841028,-309.1889,886.3266,17847.451,2511.7163,380.46295,972.7411,4433.0835,750.3811
104,493,103,12.2530860786182,76.2151189975964,-677.02594,872.35156,17107.443,2154.617,399.17038,996.2589,4276.539,809.4788
105,493,104,12.252961734331,76.2150938110899,-872.0852,1016.91693,16290.69,2252.4878,32.594444,890.6496,4256.8296,827.86096
106,493,105,12.2528373900438,76.2150686245835,-572.9426,1263.6375,16239.874,1831.563,-538.4778,579.685,4506.752,881.93695
107,493,106,12.2527130457566,76.215043438077,-510.9389,1134.036,16253.274,1668.8734,-489.32407,639.15424,4811.287,685.90314
108,493,107,12.2525887014694,76.2150182515705,-497.5315,941.92816,16722.047,990.7746,-93.24815,839.9073,4754.7334,635.94934
109,493,108,12.2524643571822,76.2149930650641,-687.6648,497.38065,17009.809,1672.399,620.09625,811.3788,4096.033,935.83606
110,493,109,12.252340012895,76.2149678785576,-796.1685,765.3656,17370.578,1472.277,1053.3647,427.37552,3448.1667,810.68604
111,493,110,12.2522156686078,76.2149426920512,-638.2,784.17084,17663.79,1399.2399,1216.8407,305.39258,2822.0332,281.75687
112,493,111,12.2520913243206,76.2149175055447,-692.19446,862.49426,17695.656,1103.5769,907.12036,494.85672,2673.1648,236.501
113,493,112,12.2519669800334,76.2148923190382,-699.5093,890.33984,17533.2,1417.808,584.46295,519.5283,2756.074,335.24557
114,493,113,12.2518426357462,76.2148671325317,-792.3759,922.66925,16900.035,1762.9359,-42.29815,597.2775,3228.4648,619.3177
115,493,114,12.251718291459,76.2148419460253,-905.11664,815.55566,15388.653,1984.1483,-346.22778,621.4354,3948.3,889.1213
116,493,115,12.2515939471719,76.2148167595188,-884.85925,889.0799,14460.354,1232.7748,-588.0704,522.8505,4227.9595,781.5975
117,493,116,12.2514696028847,76.2147915730123,-955.4111,792.13434,13519.322,1261.9264,-568.2074,440.66025,4328.1313,1199.2806
118,493,117,12.2513452585975,76.2147663865058,-924.187,829.474,13074.004,1720.2863,-498.18332,442.3668,3983.6333,1182.065
119,493,118,12.2512209143103,76.2147411999994,-1175.0166,750.54285,12783.855,1937.5352,-234.06296,527.71985,3715.5464,1203.6282
120,493,119,12.2510965700231,76.2147160134929,-1200.4055,705.2083,12839.742,1975.0784,86.12038,525.94763,3135.4277,818.43146
121,493,120,12.2509722257359,76.2146908269864,-961.8296,818.2837,13711.437,2445.5022,286.66296,328.52448,2616.4482,620.6377
122,493,121,12.2508478814487,76.2146656404799,-608.56665,386.0008,13430.678,2191.9543,418.84628,376.58792,2344.2593,383.00415
123,493,122,12.2507235371615,76.2146404539734,-291.3278,509.34818,13480.361,2361.3462,436.8074,342.4603,2160.7703,398.72278
124,493,123,12.2505991928743,76.2146152674669,7.874071,675.1281,12324.721,2519.2043,432.7241,412.13043,2106.3186,366.8611
125,493,124,12.2504748485871,76.2145900809604,194.96666,458.63892,11340.291,2977.7083,350.45926,379.4408,2161.7463,436.37283
